
2.88,12.15,1.80,8.21,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.68,12.17,3.10,0.90
2.88,12.15,1.80,8.21,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.68,12.17,3.10,0.90
2.88,12.15,1.80,8.21,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.68,12.17,3.10,0.90
2.88,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.68,12.17,3.10,0.90
2.88,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.68,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.68,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.68,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,29.00,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
2.86,12.15,1.80,8.17,3.30,3.74,0.88,28.90,1.12,1.12,7.14,2.65,2.70,12.17,3.10,0.90
